===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
19	Payroll	Phase II	Settings Module/System Configuration	4		18	Company Information/Profile Settings	Computational Basis Set Up	Setting up of Computational basis (Government statutory deductions basis; Tax computation basis; Bonus computation basis, Earnings computation basis, Gross pay computation basis, Net pay computation basis, YTD computation basis, Gross up, FBT, Final Tax Computation, Expanded Tax Computation, Minimum Take Home Pay, Commission, Piece rate, Standard 13th month, Pro-rated 13th month, retirement, final pay, maternity benefit and reimbursement, Personal income tax computation, etc.) - SEE ANNEX A * Set up of tables, basis, threshold, formulas, etc. * Automatic computation * Customizable, can still add and edit fields * With upload, update, encode and import facility(with template and can select parameters which to upload, update or import) * With search facility * With report generation to pdf and excel * Unlimited entries	Computational Basis module to include the 300 computations as standard. P&A to provide all computations. - Ability to view list of computations - Download list as a report - Editing of computations with available fields and operators only - No creation of new computation T confirm final number of computations + reference tables (currently 219 computations and 18 reference tables) - Based on current + new in BRD 2 + extra tables - Based on current + new in BRD 2 + extra computations	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
20	Payroll	Phase II	Settings Module/System Configuration	4		19	Company Information/Profile Settings	Customzed and editable formula	Customzed and editable formula	Included in Computational Basis Module	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
21	Payroll	Phase II	Settings Module/System Configuration	4		20	Company Information/Profile Settings	MWE for each region automatic salary adjustment	MWE for each region automatic salary adjustment	* Setup for admins to Create, Read, Update, and Delete MWE * Admins can upload a table or add manually * Inputs will be Province (text) and Rate (number) in Philippine Peso * When changing an employee's work location, the system will prompt admins about the change in rates too (lower or higher rate) * Include toggle on/off for employee setup if MWE or not (in employee setup)	P&A Admin, Client Admin	In progress	In progress	Not yet started							
22	Payroll	Phase II	Settings Module/System Configuration	4		21	Company Information/Profile Settings	Remittance Monitoring	Setting up of paid government remittances for the generation of certificate of contributions and loans and for recording purposes - SEE ANNEX A * This will allow the user to add, edit and delete remittance to monitor total money to pay every payout before passing to the Government Agencies * Add - System will check if the selected month and year of remittance has a posted payout. If there is a posted payout, system will save the record in the database. If not the user needs to select a new month and year or create a new payout record using the needed month and year. * Edit - User updates the information of the selected entry in the database * Delete - System will delete the specific entry in the database * View - System will retrieve the lists of saved remittance to the user * With report generation to pdf, excel, word * With upload and encode facility (with template) * Customizable and Unlimited entries	Admins: Ability to add, edit, delete, view, and export remittance record - Input of the following: Year, Month, Filed By (P&A) - client to file manually - Agency, Remittance Type, Mode of Payment, OR Number, Date Filed/Authorized (BIR), Date Paid, Date Posted, Amount Paid, Status , Levels of Review, Remarks - to be submitted for review/approval (3 levels) - reviewer to review/edit - role-based viewing/editing	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
23	Payroll	Phase II	Settings Module/System Configuration	4		22	Company Information/Profile Settings	Billing Transaction Set Up	During company onboarding - Setting up of Billing Details per company/client based on (Straight - set up once and for update, Headcount - transaction based, Bracket - set up from set up brackets, Percentage - set up once, Custom - one time if needed) recurring/one time, scheduled- SEE ANNEX A * Billing for Payroll, HRM, TK * AS AGREED 20 DEFAULT SET UP ACROSS ALL SYSTEMS, THEN ADD NEW CUSTOM EVERY MONTH * MANUALLY TRIGGERED. PUT CUT OFF DATE. * CREATE DATE - BILLING GENERATION DATE. ANY TRANSACTION BEYOND THE BILLING GENERATION DATE, WILL BE INCLUDED ON THE NEXT MONTH BILLING. * Authorized user to select a particular client to add and edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With upload, encode, and import facility (with template) * * Customizable and unlimited entries * Add, view, edit, delete * See the designated tab on the excel file for Sub Module 1		P&A Admin	Not yet Started	Not yet started	Not yet started							
24	Payroll	Phase II	Settings Module/System Configuration	4		23	Company Information/Profile Settings	Reference Table Set Up	Setting up of Reference table which contains all the reference codes to use in employees' payroll information (GL code and mapping, list of banks, bonuses, earnings, Chart of accounts, Department set up, position, location, overtime rates,Tax tables, SSS tables, PHIC tables, HDMF tables etc.) - old and updated tables - SEE ANNEX A * Government tables can be edited if there will be updates * Authorized user to select a particular client to add and edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With upload, encode, and import facility (with template) * * Customizable and unlimited entries * Add, view, edit, delete * See the designated tab on the excel file for Sub Module 1	* Reference tables will be set up under Computational Basis * There will be 30 reference tables * Reference tables can be edited by clients OR they can upload a new version of the table * Reference tables can be viewed and downloaded as an .xslx/.CSV file * Reference tables can be enabled/disabled per client * To confirm final number of computations + reference tables (currently 219 computations and 18 reference tables)	P&A Admin, Client Admin	In progress	Approved	In progress							
25	Payroll	Phase II	Settings Module/System Configuration	4		24	Overtime Settings	OT types/rates/tables Set Up * Existing in HRM and TK (Phase 1)	Setting up of overtime rates/tables (add, edit, delete) * Unlimited OT types and rates * Multiple rates set up per day depending on shifts * Standard DOLE rates * Can designate/assign to different employees depending on agreed employment contract * With upload, encode and import facility (with template) * With report generation to pdf and excel * Customizable and unlimited entries		P&A Admin, Client Admin	Complete	Approved	Deployed							
26	Payroll	Phase II	Settings Module/System Configuration	4		25	Company Information/Profile Settings	Passphrase	Setting up of PaHRMhrase - SEE ANNEX A * Authorized user to select a particular client to add and edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With upload, encode, and import facility (with template) * * Customizable and unlimited entries * Add, view, edit, delete * See the designated tab on the excel file for Sub Module 1	Passphrases will only apply to all reports generated in the system. If multiple reports are generated and is compressed into a ZIP file, only the file will have passphrases. Passphrases does not expire and will persist unless disabled or changed. For Admins (global) and Clients per report: - Toggle on/off for Passphrases - A system-generated default passphrase will be generated per client - Option to trigger another system-generated passphrase as needed - Able to view history of passwords (can be downloaded as a report) For Clients: - Clients can change their passphrase as long as they follow the minimum standard for creating passphrases (to be discussed during the design phase) - trigger system generated password - able to view history of passwords - create report group > choose from list of reports > name report group > set passphrase - set passphrase for custom reports - 1 report can only belong to 1 report group - by default, the set passphrase (system generated or own passphrase) will apply to all reports - per client config (either pre-defined groups or client will create their own groups) * Passphrase creator?	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
27	Payroll	Phase II	Settings Module/System Configuration	4		26	Users Rights/Team Members Settings	User Rights/Team Members Set Up (P&A and Client) * Existing in HRM and TK (Phase 1)	User rights/roles access setting up/configuration/manage (add, edit, delete/deactivate, reactivate, assign) - SEE ANNEX A * Select: Module/Feature, User, User role * P&A and Client Team members * Displays date access granted, employee name, module, user role, status of access (active/inactive), action dropdown * Multiple and unlimited number of Access Rights * Customizable and Unlimited Number of Users * Can be managed and can be limited * The system must have role-based access control (roles have privileges that can be customized, and you just assign users to defined roles) * With report generation to pdf and excel * With upload and encode facility (with template) * * Customizable and unlimited entries		P&A Admin, Client Admin	Complete	Approved	In progress							
28	Payroll	Phase II	Settings Module/System Configuration	4		27	Users Rights Settings	Approval Level/Hierarchy Set Up * Existing in HRM and TK (Phase 1)	User to view, edit, and generate approval levels not limited to the following functions: with notifications, multiple approval levels, upto 6 levels down and 3 across per level (level, user, access granted on, employee, approver, action dropdown) * Multi-level approval * With report generation to pdf and excel * With upload and encode facility (with template) * Customizable and unlimited entries		P&A Admin, Client Admin	Complete	Approved	In progress							
