===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
79	Payroll	Phase II	Computational Basis Module	7		78	Computational Basis	Expanded Maternity Benefit Computation	Expanded Maternity Benefit Computation and Report	Computational Basis module to include the 300 computations as standard. P&A to provide all computations. - Ability to view list of computations - Download list as a report - Editing of computations with available fields and operators only	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
80	Payroll	Phase II	Computational Basis Module	7		79	Computational Basis	Retirement Computation	Retirement Computation and Report	Computational Basis module to include the 300 computations as standard. P&A to provide all computations. - Ability to view list of computations - Download list as a report - Editing of computations with available fields and operators only	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
81	Payroll	Phase II	Computational Basis Module	7		80	Computational Basis	SSS Sickness and Maternity Reimbursement	SSS Sickness and Maternity Reimbursement	Computational Basis module to include the 300 computations as standard. P&A to provide all computations. - Ability to view list of computations - Download list as a report - Editing of computations with available fields and operators only	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
82	Payroll	Phase II	Computational Basis Module	7		81	Computational Basis	Direct tax using annual forecasted income	Direct tax basis using forecasted annual income plus 13th month	Computational Basis module to include the 300 computations as standard. P&A to provide all computations. - Ability to view list of computations - Download list as a report - Editing of computations with available fields and operators only During creation of transaction, toggle on/off: - compute for annual income - check table, get tax rate - multiply with tax rate included in computational basis + payroll transaction - instead of standard tax table, annual tax table	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
83	Payroll	Phase II	Computational Basis Module	7		82	Computational Basis	Tax projection capability using annual tax table	1. Tax projection with 2316 from previous employer 2. Intentional computation of tax projection (correct tax) 3. Projected tax with option to schedule (staggered or at year end)	Computational Basis module to include the 300 computations as standard. P&A to provide all computations. - Ability to view list of computations - Download list as a report - Editing of computations with available fields and operators only	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
84	Payroll	Phase II	Users Rights/Team Members Module	8		83	Users Rights/Team Members	Edit User Rights/Team Members (P&A and Client) * Existing in HRM and TK (Phase 1)	Updating of User rights/roles access (add, edit, delete/deactivate, reactivate, assign) - SEE ANNEX A * P&A and Client Team members * With report generation to pdf and excel * With upload and encode facility (with template) * Customizable, can still add and edit fields * With upload, update, encode and import facility(with template and can select parameters which to upload, update or import) * With search facility * P&A Admin or Reviewer to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1 * Unlimited entries		P&A Admin, Client Admin	Complete	Approved	Deployed							
85	Payroll	Phase II	Users Rights/Team Members Module	8		84	Users Rights/Team Members	View User Rights/Team Members (P&A and Client) * Existing in HRM and TK (Phase 1)	Viewing of recorded User rights/roles access (add, edit, delete/deactivate, reactivate, assign) - SEE ANNEX A * P&A and Client Team members * With search facility * Aiuthorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
86	Payroll	Phase II	Payroll Calendar/Payouts Module	9		85	Payroll Calendar	Edit/Upload Payroll Calendar/Payouts & Statutory Timelines * Existing in HRM and TK (Phase 1)	Updating of Payout Information, Payroll Deadlines, Statutory Deadlines, etc. - SEE ANNEX A * With report generation to pdf and excel * Customizable, can still add and edit fields * With upload, update, encode and import facility(with template and can select parameters which to upload, update or import) * With search facility * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1 * Unlimited entries		P&A Admin, Client Admin	Complete	Approved	Deployed							
87	Payroll	Phase II	Payroll Calendar/Payouts Module	9		86	Payroll Calendar	View Payroll Calendar/Payouts & Statutory Timelines	Viewing of recorded Payout Information, Payroll Deadlines, Statutory Deadlines, etc. - SEE ANNEX A * With search facility * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
88	Payroll	Phase II	Payroll Calendar/Payouts Module	9		87	Payroll Calendar	Download Payroll Calendar/Payouts & Statutory Timelines	Downloading/generating of Payout Information, Payroll Deadlines, Statutory Deadlines, etc. - SEE ANNEX A * With report generation to pdf and excel * With search facility * Authorized user to select a particular client to download/generate (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
89	Payroll	Phase II	Remittance Monitoring Module	10		88	Remittance Monitoring	Add/Create/Edit Remittance Monitoring	Updating of government receipt details (BIR, SSS, PHIC, HDMF, etc.) - SEE ANNEX A * With report generation to pdf and excel * Unlimited entries * Add, view, edit, delete, post * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1 * Unlimited entries	Admins: * Creating of record, after setup Ability to add, edit, delete, view, and export remittance record - Input of the following: Year, Month, Filed By (P&A) - client to file manually - Agency, Remittance Type, Mode of Payment, OR Number, Date Filed/Authorized (BIR), Date Paid, Date Posted, Amount Paid, Status , Levels of Review, Remarks - to be submitted for review/approval (3 levels) - reviewer to review/edit - role-based viewing/editing	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
90	Payroll	Phase II	Remittance Monitoring Module	10		89	Remittance Monitoring	Uploading of remittance monitoring	Uploading of remittance monitoring, add PTFND	Admins: Ability to add, edit, delete, view, and export remittance record * option instead of manual creating - Input of the following: Year, Month, Filed By (P&A) - client to file manually - Agency, Remittance Type, Mode of Payment, OR Number, Date Filed/Authorized (BIR), Date Paid, Date Posted, Amount Paid, Status , Levels of Review, Remarks - to be submitted for review/approval (3 levels) - reviewer to review/edit - role-based viewing/editing	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
91	Payroll	Phase II	Remittance Monitoring Module	10		90	Remittance Monitoring	View Remittance Monitoring	Viewing of government receipt details (BIR, SSS, PHIC, HDMF, etc.) - SEE ANNEX A * With search facility * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1	Admins: Ability to add, edit, delete, view, and export remittance record - Input of the following: Year, Month, Filed By (P&A) - client to file manually - Agency, Remittance Type, Mode of Payment, OR Number, Date Filed/Authorized (BIR), Date Paid, Date Posted, Amount Paid, Status , Levels of Review, Remarks - to be submitted for review/approval (3 levels) - reviewer to review/edit - role-based viewing/editing	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
92	Payroll	Phase II	Remittance Monitoring Module	10		91	Remittance Monitoring	Download Remittance Monitoring	Downloading/generating of government receipt details (BIR, SSS, PHIC, HDMF, etc.) - SEE ANNEX A * With report generation to pdf and excel * With search facility * Authorized user to select a particular client to download/generate (Input client name or code and click search button. Apply filters if necessary) * See the designated tab on the excel file for Sub Module 1	Admins: Ability to add, edit, delete, view, and export remittance record - Input of the following: Year, Month, Filed By (P&A) - client to file manually - Agency, Remittance Type, Mode of Payment, OR Number, Date Filed/Authorized (BIR), Date Paid, Date Posted, Amount Paid, Status , Levels of Review, Remarks - to be submitted for review/approval (3 levels) - reviewer to review/edit - role-based viewing/editing	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
93	Payroll	Phase II	Billing Transaction Module	11		92	Billing Transaction	Edit Billing Transaction	Updating of Billing Details per company/client - SEE ANNEX A * Enter date range, preview, add custom/edit, if not, generate / Preview, save as draft, generate * With 3 levels of review (Preparer - unable to edit but cannot add, Checker - can edit and add, Reviewer - can edit, add and approve) Once approved by Reviewer, billing created will be posted and generated * With filter by month and year * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Add, view, edit, delete * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin	Not yet Started	Not yet started	Not yet started							
94	Payroll	Phase II	Billing Transaction Module	11		93	Billing Transaction	View Billing Transaction	Viewing of Billing Details per company/client - SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin	Not yet Started	Not yet started	Not yet started							
95	Payroll	Phase II	Billing Transaction Module	11		94	Billing Transaction	Download Billing Transaction	Downloading/generating of Billing Details per company/client - SEE ANNEX A * Authorized user to select a particular client to download/generate (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin	Not yet Started	Not yet started	Not yet started							
96	Payroll	Phase II	Authorized Signatories Module	12		95	Authorized Signatories	Edit Authorized Signatories * Existing in HRM and TK (Phase 1)	Setting up of Authorized Signatories/Approvers, etc - SEE ANNEX A ** Can upload esignatures * Managed contact persons, e.g. authorized person for BIR, for SSS, etc. * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
97	Payroll	Phase II	Authorized Signatories Module	12		96	Authorized Signatories	View Authorized Signatories * Existing in HRM and TK (Phase 1)	Viewing of Authorized Signatories/Approvers, etc - SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Complete	Approved	Deployed							
98	Payroll	Phase II	Reference Table Module	13		97	Reference Table	Edit Reference Table	Updating of Reference table which contains all the reference codes to use in employees' payroll information (GL code and mapping, list of banks, bonuses, earnings, BIR table, SSS, etc.) - SEE ANNEX A * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Add, view, edit, delete * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Duplicate feature	In progress	In progress							
99	Payroll	Phase II	Reference Table Module	13		98	Reference Table	View Reference Table	Viewing of Reference table which contains all the reference codes to use in employees' payroll information (GL code and mapping, list of banks, bonuses, earnings, BIR table, SSS, etc.) - SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Duplicate feature	In progress	In progress							
100	Payroll	Phase II	Authorized Contact Persons Module	14		99	Authorized Contact Persons	Edit Authorized Contact Persons * Existing in HRM and TK (Phase 1)	Updating of Authorized Contact Persons, - SEE ANNEX A * With report generation to pdf and excel with parameters (for all or per year) ** Managed contact persons, e.g. authorized person for BIR, for SSS, etc. * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Add, view, edit, delete * Customizable, can still add and edit fields * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Duplicate feature	In progress	In progress							
101	Payroll	Phase II	Authorized Contact Persons Module	14		100	Authorized Contact Persons	View Authorized Contact Persons * Existing in HRM and TK (Phase 1)	Viewing of Authorized Contact Persons, - SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 1		P&A Admin, Client Admin	Duplicate feature	In progress	In progress							
102	Payroll	Phase II	Passphrase Module	15		101	Passphrase	Edit Passphrase	Updating of PaHRMhrase - SEE ANNEX A * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * Customizable, can still add and edit fields * Add, view, edit, delet * With upload, update, encode and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 1	Passphrases will only apply to all reports generated in the system. If multiple reports are generated and is compressed into a ZIP file, only the file will have passphrases. Passphrases does not expire and will persist unless disabled or changed. For Admins (global) and Clients per report: - Toggle on/off for Passphrases - A system-generated default passphrase will be generated per client - Option to trigger another system-generated passphrase as needed - Able to view history of passwords (can be downloaded as a report) For Clients: - Clients can change their passphrase as long as they follow the minimum standard for creating passphrases (to be discussed during the design phase) - trigger system generated password - able to view history of passwords - create report group > choose from list of reports > name report group > set passphrase - set passphrase for custom reports - 1 report can only belong to 1 report group - by default, the set passphrase (system generated or own passphrase) will apply to all reports - per client config (either pre-defined groups or client will create their own groups)	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
103	Payroll	Phase II	Passphrase Module	15		102	Passphrase	View Passphrase	Viewing of PaHRMhrase - SEE ANNEX A * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 1	Passphrases will only apply to all reports generated in the system. If multiple reports are generated and is compressed into a ZIP file, only the file will have passphrases. Passphrases does not expire and will persist unless disabled or changed. For Admins (global) and Clients per report: - Toggle on/off for Passphrases - A system-generated default passphrase will be generated per client - Option to trigger another system-generated passphrase as needed - Able to view history of passwords (can be downloaded as a report) For Clients: - Clients can change their passphrase as long as they follow the minimum standard for creating passphrases (to be discussed during the design phase) - trigger system generated password - able to view history of passwords - create report group > choose from list of reports > name report group > set passphrase - set passphrase for custom reports - 1 report can only belong to 1 report group - by default, the set passphrase (system generated or own passphrase) will apply to all reports - per client config (either pre-defined groups or client will create their own groups)	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
104	Payroll	Phase II	Employee Information/Masterfile Module	16		103	Employee records/masterfile	Edit Employee personal information * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Basic information - Employee Number/Code, Salutation, First Name, Middle Name (optional), Last Name, Suffix (optional), Preferred Name, Birth Date, Country of Birth, Gender, Marital/Civil Status, Citizenship/Nationality, Ethnic Origin, Religion, Number of Dependents, Language; Contact Information - Permanent Address, Present Address, Postal Code, Work Phone and Extension Number, Mobile Phone, Home Phone, Work/Company Email, Home Email; Emergency Contact - Name (optional, Relationship (optional), Phone Number (optional), Email Address (optional)) - SEE ANNEX B * Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility * See the designated tab on the excel file for Sub Module 2		P&A Admin, Client Admin	Complete	Approved	Deployed							
105	Payroll	Phase II	Employee Information/Masterfile Module	16		104	Employee records/masterfile	Edit Employee employment information * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display ( Income Type - Salaries and Wages, Consultancy Fee, etc.; Employment Type/(Employee Status in Dorado) - Employee, Consultant, Regular, Probationary, etc.; Employee Type - Rank & File, Manager, etc.; Start Date; End Date; Date of Exit; Exit Reason; Pay Type/(Employee Group in Dorado) - Monthly, Daily, Hourly, etc.; Employment Status - Active, On Hold, Resigned, etc.; Employee Status - Regular, Casual, Probationary, etc.; Employee Group; Holiday Group - Manila NCR, Pasig NCR, etc.; Payment Type - Cash, Check, Debit, etc.,; Bank Information - Primary Bank/Account Name/Account Number/Bank Address/Swift Code; Other Bank/Account Name/Account Number/Bank Address/Swift Code; Assigned Users - Direct Reports, Assigned Selected Employee/s; Approvers - Direct Managers, Assigned Selected Managers, etc.) - SEE ANNEX B * Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Complete	Approved	Deployed							
106	Payroll	Phase II	Employee Information/Masterfile Module	16		105	Employee records/masterfile	Edit Employee tax information * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (TIN; SSS No.; PHIC No.; Pag-Ibig No.; Residency - Philippines, Foreign; Tax Type - Compensation, Expanded, etc.,;Tax Table - Weekly, Semi-Monthly, Monthly, Annual) - SEE ANNEX B * Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Complete	Approved	Deployed							
107	Payroll	Phase II	Employee Information/Masterfile Module	16		106	Employee records/masterfile	Edit Employee dependents * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Dependents Full Name - First Name, Middle Name (optional), Last Name; Dependents Birth Date; Dependents Gender) - SEE ANNEX B * Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Complete	Approved	Deployed							
108	Payroll	Phase II	Employee Information/Masterfile Module	16		107	Employee records/masterfile	Edit Employee employment history * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Previous Employer/s Name; Previous Employer/s Address; Previous Employer/s TIN; Previous Employer/s Date Range of Employment/s with Taxable Year; Previous Nontaxable Earnings; Previous Taxable Earnings; Previous Withholding Taxes) - SEE ANNEX B * Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Complete	Approved	Deployed							
109	Payroll	Phase II	Employee Information/Masterfile Module	16		108	Employee records/masterfile	Edit Employee leave balances/ledger * Existing in HRM and TK (Phase 1)	Viewing and updating functions of used and remaining leave credits, with employee number/code and employee name on display (Leave Code, Leave Type, Effective Date, Opening Balance, Leave Credits/Accrual, Used Leaves, Closing Balance) - SEE ANNEX B * Has option to allow negative leave balance * Leave auto-credit * Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Complete	Approved	In progress							
110	Payroll	Phase II	Employee Information/Masterfile Module	16		109	Employee records/masterfile	Edit Leave Management, Accrual, Adjustment and Forfeiture * Existing in HRM and TK (Phase 1)	Displays, track, and monitors leave management, accrual, adjustment and forfeiture (Effective after - period after which the policy is applicable (1 year from date of joining, etc); Leave Type (sick, vacation, etc); Accrual Frequency (monthly, yearly, etc); Accrual Rate (1 day leave every month); Added leave; Used leave; Balance; Expiry (in 3 months, etc) - SEE ANNEX B * Alert on forfeited leave balances * Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Complete	Approved	In progress							
111	Payroll	Phase II	Employee Information/Masterfile Module	16		110	Employee records/masterfile	Edit Employee loan profile * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Loan Code, Loan Type, Loan Name, Date of Application, Date Granted, Start Date, End Date, No. of Payment, Total Loan Amount, Total Payment, Total Balance) - SEE ANNEX B * Unlimited Loan Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
112	Payroll	Phase II	Employee Information/Masterfile Module	16		111	Employee records/masterfile	Edit Employee leave conversion * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Leave Code, Leave Type, Leave Credits, Used Leaves, Leave Conversion, Date of Conversion, Leave Balances, Remarks) - SEE ANNEX B * Unlimited Leave entries\* Unlimited Entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Deleted feature	Not applicable	Not applicable							
113	Payroll	Phase II	Employee Information/Masterfile Module	16		112	Employee records/masterfile	Edit Employee department * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code an* Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility* Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * With search facility * Unlimited entries * See the designated tab on the excel file for Sub Module 2		P&A Admin, Client Admin	Complete	Approved	Deployed							
114	Payroll	Phase II	Employee Information/Masterfile Module	16		113	Employee records/masterfile	Edit Employee location * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Location Code, Current Location, Site Code, Site Name, Previous Location/s with Date Changed) - SEE ANNEX B * Displays employee location change history * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Complete	Approved	Deployed							
115	Payroll	Phase II	Employee Information/Masterfile Module	16		114	Employee records/masterfile	Edit Employee cost center * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Cost Center Code, Cost Center Name, Percentage Rate, Charge Code, Add New Field/s, etc.) - SEE ANNEX B * Employee cost center change history * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
116	Payroll	Phase II	Employee Information/Masterfile Module	16		115	Employee records/masterfile	Edit Employee accountability records * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Authorization - Authorized to approve leave of direct reports, Authorized to approve leave of selected employees/s, Authorized to approve timesheets of direct reports, Authorized to approve timesheets of selected employee/s, etc.) * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Covered in phase 1	Approved	In progress							
117	Payroll	Phase II	Employee Information/Masterfile Module	16		116	Employee records/masterfile	Edit Employee payroll records * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Pay Code, Pay Type, Pay Rate, Bonus Rate, Pay Schedule, etc) - SEE ANNEX B * Multiple hour rates * Displays payroll history per payroll period * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	In progress	In progress	Not yet started							
118	Payroll	Phase II	Employee Information/Masterfile Module	16		117	Employee records/masterfile	Edit Employee fixed earnings * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Earning Code, Earning Type, Earning Name, Start Date, End Date, No. of Payment, Total Amount Paid, Total Balance - if negative amount) - SEE ANNEX B * Multiple hour rates * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	In progress	In progress	Not yet started							
119	Payroll	Phase II	Employee Information/Masterfile Module	16		118	Employee records/masterfile	Edit Employee fixed bonuses * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Bonus Code, Bonus Type, Bonus Name, Start Date, End Date, No. of Payment, Total Amount Paid, Total Balance - if negative amount) - SEE ANNEX B * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	In progress	In progress	Not yet started							
120	Payroll	Phase II	Employee Information/Masterfile Module	16		119	Employee records/masterfile	Edit Employee fixed deductions * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Deduction Code, Deduction Type, Deduction Name, Start Date, End Date, No. of Deduction, Total Deduction Amount, Total Balance) - SEE ANNEX B * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	In progress	In progress	Not yet started							
121	Payroll	Phase II	Employee Information/Masterfile Module	16		120	Employee records/masterfile	Edit Employee multi-currency * Existing in HRM and TK (Phase 1)	Viewing and updating functions with employee number/code and employee name on display (Currency Code - C001, C002, etc., Currency Conversion Rate on - Payout Date, Payroll Date, etc., Percentage Rate, Multi-Currency Rule - Payroll, Expense Claims, etc., Remarks) - SEE ANNEX B * Unlimited entries * Authorized user to select a particular client to edit (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) (with batch download) * Customizable, can still add and edit fields * Add, view, edit, delete * With upload, update, encode (with batch upload and update) and import facility (with template and can select parameters which to upload, update or import) * With search facility		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
