source_id,type,path_or_url,sha256,modified_at,effective_date,authority,module,locator,notes
SRC-20260820-001,workbook,C:\Users\josrp\Downloads\Project WBS Template - Atlas Phase 2 (Payroll).xlsx,c6086c64864308fc3661e733349d1b9a4634a5dc613e9df5c5ac2f9ed5f2e9e3,2026-08-19T23:34:26.193253+00:00,,,Payroll,,
SRC-20260820-002,workbook,C:\Users\josrp\Downloads\03Annex C _ Sub Module 3 _ Payroll.xlsx,272352bc25c3f86548b59dc2d58623d95086df1d4ca369ef6bb173013500c165,2026-08-19T23:34:15.607016+00:00,,,Payroll,,
SRC-20260820-003,workbook,C:\Users\josrp\Downloads\Project Atlas PHASE 2 Features_Payroll System.xlsx,89bc008ac44060ed892fe17ca3dc87268597da48f1b6f5689e0382ddbb6aed00,2026-08-19T23:34:07.635675+00:00,,,Payroll,,
